0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
3.352518081543264e-11,5.24719483849871e-12,2.058098075186149e-10,1.174830984585426e-11,4.790572946853194e-13
6.618923423179659e-11,1.035961029225498e-11,4.0633318674838514e-10,2.3194852743553644e-11,9.458095293487893e-13
9.882887705761724e-11,1.546820512158543e-11,6.067067102929977e-10,3.463284137922526e-11,1.4122129494441372e-12
1.6597281630052536e-10,2.5977241101778452e-11,1.0189007947246992e-09,5.8162253698868205e-11,2.3716647139344317e-12
2.1036220374397676e-10,3.2924847617600065e-11,1.2914055527423048e-09,7.371773363570652e-11,3.005965837572499e-12
2.5495288580218705e-10,3.990395976703467e-11,1.5651460507294022e-09,8.934375372913664e-11,3.6431433559453785e-12
3.182012306559597e-10,4.9803276656252757e-11,1.9534252296513475e-09,1.1150802352593101e-10,4.546929114649614e-12
3.9797840778627443e-10,6.22896043027091e-11,2.4431742800728858e-09,1.3946453182082713e-10,5.6869032392958654e-12
6.069804366909749e-10,9.500156410814796e-11,3.726229771307565e-09,2.1270561611214003e-10,8.673432890009595e-12
7.221776661347257e-10,1.1303166247135645e-10,4.433421173168169e-09,2.530744586350162e-10,1.0319541031719108e-11
9.82407225483797e-10,1.5376150098165828e-10,6.030960521729477e-09,3.442673297820575e-10,1.40380852920839e-11
1.077991457870035e-09,1.6872187042992838e-10,6.617748482024999e-09,3.777631425155934e-10,1.5403933966655266e-11
1.1584253159857332e-09,1.8131097852359587e-10,7.1115288719923814e-09,4.0594977310956485e-10,1.6553291719030803e-11
1.3484692412856018e-09,2.110557100855645e-10,8.278201287612677e-09,4.725473235012233e-10,1.926891998742853e-11
1.549271847823183e-09,2.424843370147311e-10,9.510920837382017e-09,5.429150644672231e-10,2.2138284182158615e-11
1.530401755047203e-09,2.3953088378919216e-10,9.39507805689222e-09,5.363023724142638e-10,2.186864042854281e-11
1.5063310848732692e-09,2.3576346201177617e-10,9.24730912992909e-09,5.278672295001187e-10,2.1524683144665035e-11
1.5034822559817117e-09,2.3531757745897265e-10,9.22982027792102e-09,5.268689075313246e-10,2.1483974870209352e-11
1.5002041443242143e-09,2.348045036991639e-10,9.209696075371051e-09,5.257201509690972e-10,2.1437132369613677e-11
1.5040936454287582e-09,2.3541326909948957e-10,9.233573574438891e-09,5.27083158207553e-10,2.149271130555071e-11
1.5091292508680701e-09,2.36201417059536e-10,9.264486964344528e-09,5.288477975479997e-10,2.1564667472831063e-11
1.507596672373693e-09,2.359615454833151e-10,9.255078523367835e-09,5.283107323755804e-10,2.154276772793629e-11
1.5331009243733316e-09,2.399533443699201e-10,9.411648154531037e-09,5.372482488211463e-10,2.1907210146105e-11
1.5462940519978468e-09,2.4201826719781256e-10,9.492640262281876e-09,5.418715483052568e-10,2.209573303769009e-11
1.5452813509556737e-09,2.4185976425906074e-10,9.486423329173868e-09,5.415166650403411e-10,2.208126206960615e-11
1.5726024173946745e-09,2.4613592192067767e-10,9.654146314948952e-09,5.510908521450024e-10,2.2471665815621464e-11
1.586315706989876e-09,2.482822579174594e-10,9.7383316772166e-09,5.558964332411138e-10,2.266762154963766e-11
1.600722805965061e-09,2.5053718551342136e-10,9.826776308829727e-09,5.609451476290299e-10,2.2873491456717733e-11
1.6320237243655242e-09,2.5543624984286923e-10,1.0018931454140374e-08,5.719140038405125e-10,2.332076520514712e-11
1.643939143827336e-09,2.573011921333456e-10,1.0092079760168604e-08,5.760895529762909e-10,2.3491030315538082e-11
1.6660089992439675e-09,2.607554563196032e-10,1.022756576157951e-08,5.838235455568299e-10,2.3806397003288215e-11
1.680482157146739e-09,2.630207231309083e-10,1.0316415926431858e-08,5.888954091338182e-10,2.4013210857883852e-11
1.707624770115642e-09,2.6726895014146135e-10,1.0483043393154147e-08,5.984070603592153e-10,2.4401064597171894e-11
1.719945278933351e-09,2.6919729500653065e-10,1.0558678527301932e-08,6.027245659334849e-10,2.457711822253046e-11
1.7210628074414226e-09,2.6937220501974467e-10,1.0565538992228553e-08,6.031161841397127e-10,2.459308712026014e-11
1.7041872248936347e-09,2.667309226317717e-10,1.0461940434027011e-08,5.972024331090414e-10,2.4351943874349268e-11
1.6681724576599365e-09,2.610940700886408e-10,1.0240847150354603e-08,5.845816914994082e-10,2.3837311692208887e-11
1.6506213710722347e-09,2.583470611624238e-10,1.0133101698592727e-08,5.784312219613345e-10,2.3586515846967042e-11
1.6358895517286787e-09,2.5604130994674003e-10,1.0042663621011932e-08,5.732687150327641e-10,2.3376005855704952e-11
1.602875514930918e-09,2.5087411683190155e-10,9.839991707140198e-09,5.616995266159193e-10,2.2904252541620015e-11
1.5315112073824044e-09,2.397045297599291e-10,9.401888942501337e-09,5.366911604677842e-10,2.1884493921987323e-11
1.3891219448590488e-09,2.1741846939582647e-10,8.527766685742044e-09,4.867933483111081e-10,1.9849825853462665e-11
1.2757655367079833e-09,1.9967648724111074e-10,7.831876015651077e-09,4.4706958922674864e-10,1.8230022084974217e-11
1.1612963977355873e-09,1.8176034598328773e-10,7.129154333449571e-09,4.069558932010793e-10,1.6594317975189647e-11
8.734117059090246e-10,1.3670206345376405e-10,5.361841180432771e-09,3.060717673830371e-10,1.2480596339890835e-11
7.218287111900221e-10,1.1297704577607901e-10,4.431278952059878e-09,2.529521735134179e-10,1.0314554648119954e-11
5.963384444133179e-10,9.333593231758177e-11,3.6608989862377666e-09,2.0897631713107238e-10,8.52136438786897e-12
3.7269656668731607e-10,5.833261606594075e-11,2.287970020953793e-09,1.3060495536277894e-10,5.325638956540501e-12
