(mbar)       (K)     (cm2/s)   (km)
Pressure     Temp    Kzz  Altitude
0.040380000000000006   166.5   124486.84210526316   202.1
0.06396   165.2   89155.52631578945   191.7
0.10160000000000001   164.2   64129.06666666668   181.4
0.16010000000000002   163.3   45782.66666666665   171.2
0.2558   162.7   32908.666666666664   161.0
0.401   162.2   23564.594594594608   150.8
0.641   161.7   16792.13333333333   140.7
1.008   161.4   12509.72972972973   130.5
1.612   161.1   9944.746666666668   120.4
2.535   160.9   7882.26153846154   110.4
4.051   156.6   6254.656488549619   100.4
6.3790000000000004   153.6   4946.046153846154   90.7
10.160000000000002   150.8   3912.181259600615   81.2
15.980000000000002   146.8   3070.675883256529   71.9
25.570000000000004   140.3   2421.4470377019748   62.9
40.13   128.7   1912.8330341113106   54.5
64.05   115.1   1524.1935483870966   46.8
100.7   108.4   1218.9677419354837   39.9
160.8   113.3   957.0764705882352   32.9
253.70000000000002   120.9   750.2221621621622   25.6
404.3   130.5   12463.891891891892   17.7
636.2   143.5   14275.914732865624   9.1
1018.0   160.3   16322.975295381311   -0.4
1596.0   182.4   18609.625668449196   -11.1
2557.0   209.3   21196.028880866426   -23.3
4039.0   242.6   24173.01886792453   -37.4
6300.0   283.6   27654.535637149027   -53.9
