 C4H2    =2C2H                                              
1
 2 298.0
 74  95
1060.0  3.500E-02
1110.0  3.500E-02
1155.0  3.500E-02
1190.0  3.500E-02
1210.0  3.500E-02
1215.7  3.500E-02
1250.0  3.500E-02
1300.0  3.500E-02
1350.0  3.500E-02
1400.0  3.500E-02
1450.0  3.500E-02
1500.0  3.500E-02
1550.0  3.500E-02
1600.0  3.500E-02
1650.0  3.500E-02
1700.0  3.500E-02
1750.0  3.500E-02
1800.0  3.500E-02
1850.0  1.000E-02
1900.0  1.000E-02
1950.0  1.000E-02
2000.0  1.000E-02
