 NCO                                                    N4S        CO                                           3.654e-10  0.000E+00  2.717E+04  1.100E+00  0.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00
 CH3                                                    3CH2       H                                            4.834e-08  0.000E+00  4.560E+04  1.470E+00  0.000E+00  4.000E-01  7.500E-01  1.500E+00  6.500E+00  3.000E+00  1.000E+00  3.000E+00  3.500E-01  4.000E-01  3.500E-01  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00
 C2H2                                                   C2H        H                                            1.894e-07  0.000E+00  5.380E+04  1.470E+00  0.000E+00  4.000E-01  7.500E-01  1.500E+00  6.500E+00  3.000E+00  1.000E+00  3.000E+00  3.500E-01  4.000E-01  3.500E-01  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00
 C2H4                                                   C2H2       H2                                           1.656e-07  0.000E+00  3.600E+04  1.260E+00  0.000E+00  4.000E-01  7.500E-01  1.500E+00  6.500E+00  3.000E+00  1.000E+00  3.000E+00  3.500E-01  4.000E-01  3.500E-01  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00
 C2H4                                                   C2H3       H                                            1.229e-06  0.000E+00  4.862E+04  1.470E+00  0.000E+00  4.000E-01  7.500E-01  1.500E+00  6.500E+00  3.000E+00  1.000E+00  3.000E+00  3.500E-01  4.000E-01  3.500E-01  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00
 HCO                                                    H          CO                                           1.052e-09 -1.000E+00  8.547E+03  1.260E+00  0.000E+00  1.000E+00  1.500E+00  2.000E+00  6.000E+00  1.000E+00  2.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00
 H2CO                                                   HCO        H                                            4.399e-02 -5.540E+00  4.867E+04  1.260E+00  0.000E+00  4.000E-01  7.500E-01  1.500E+00  6.500E+00  3.000E+00  1.000E+00  3.000E+00  3.500E-01  4.000E-01  3.500E-01  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00
 H2CO                                                   H2         CO                                           1.024e-01 -5.540E+00  4.867E+04  1.260E+00  0.000E+00  4.000E-01  7.500E-01  1.500E+00  6.500E+00  3.000E+00  1.000E+00  3.000E+00  3.500E-01  4.000E-01  3.500E-01  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00
 CH2CO                                                  1CH2       CO                                           1.091e-08  0.000E+00  2.896E+04  1.470E+00  0.000E+00  4.000E-01  7.500E-01  1.500E+00  6.500E+00  3.000E+00  1.000E+00  3.000E+00  3.500E-01  4.000E-01  3.500E-01  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00
 CH2CO                                                  CHCO       H                                            4.485e-07  0.000E+00  4.374E+04  1.260E+00  0.000E+00  4.000E-01  7.500E-01  1.500E+00  6.500E+00  3.000E+00  1.000E+00  3.000E+00  3.500E-01  4.000E-01  3.500E-01  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00
 NO                                                     N4S        O3P                                          1.601e-09  0.000E+00  7.456E+04  1.100E+00  0.000E+00  1.000E+00  1.000E+00  2.500E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.500E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  3.000E+00  1.000E+00
 N2                                                     N4S        N4S                                          9.366e-05 -3.330E+00  1.131E+05  1.100E+00  0.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  2.200E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  5.000E+00
 N2H2                                                   NNH        H                                            8.306e-08  0.000E+00  2.514E+04  1.100E+00  0.000E+00  2.000E+00  1.000E+00  1.000E+00  1.500E+01  1.000E+00  2.000E+00  1.000E+00  1.000E+00  2.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00
 N2H2                                                   NH         NH                                           5.249e-08  0.000E+00  4.997E+04  1.100E+00  0.000E+00  2.000E+00  1.000E+00  1.000E+00  1.500E+01  1.000E+00  2.000E+00  1.000E+00  1.000E+00  2.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00
 N2H4                                                   N2H3       H                                            1.661e-09  0.000E+00  3.198E+04  1.100E+00  0.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  2.400E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  3.000E+00  4.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00
 H2NO                                                   H2         NO                                           3.072e-07 -4.290E+00  3.032E+04  1.100E+00  0.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+01  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00
 H2NO                                                   HNO        H                                            4.542e-07 -2.830E+00  3.264E+04  1.100E+00  0.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+01  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00
 HNOH                                                   HNO        H                                            3.065e-07 -2.840E+00  2.963E+04  1.100E+00  0.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+01  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00
 HNCO                                                   NH         CO                                           1.827e-08  0.000E+00  4.324E+04  1.100E+00  0.000E+00  1.500E+00  1.000E+00  1.000E+00  1.860E+01  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.500E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00
 HON                                                    NO         H                                            5.211e-09 -1.700E+00  8.067E+03  1.100E+00  0.000E+00  1.000E+00  1.000E+00  2.000E+00  7.000E+00  1.000E+00  1.000E+00  1.000E+00  7.000E-01  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00
 C2N2                                                   CN         CN                                           4.075e-01 -4.300E+00  6.540E+04  1.100E+00  0.000E+00  1.500E+00  1.000E+00  3.000E+00  1.000E+01  1.000E+00  1.500E+00  1.000E+00  1.000E+00  1.500E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00  1.000E+00
