 C4H10   =2C2H5                                             
1
 2 298.0
 78  88
1210.0  1.400E-01
1215.7  1.400E-01
1250.0  1.400E-01
1300.0  1.400E-01
1350.0  1.400E-01
1400.0  1.400E-01
1450.0  1.000E-01
1500.0  1.000E-01
1550.0  1.000E-01
1600.0  1.000E-01
1650.0  1.000E-01
