 C6H6    =2C3H3                                             
1
 2   0.0
 88  94
1650.0  5.000E-02
1700.0  5.000E-02
1750.0  5.000E-02
1800.0  5.000E-02
1850.0  5.000E-02
1900.0  5.000E-02
1950.0  5.000E-02
